"gene_id"	"GO_Annotation"
"LOC111100287"	"GO:0000978; GO:0000981; GO:0005634; GO:0006357"
"LOC111101889"	"GO:0009100; GO:0016231"
"LOC111106170"	"GO:0004672; GO:0005524; GO:0006468"
"LOC111108587"	"GO:0016020; GO:0022829"
"LOC111109804"	"GO:0000398; GO:0003723; GO:0003723; GO:0005634"
"LOC111112779"	"GO:0003677; GO:0006310; GO:0015074"
"LOC111114067"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627"
"LOC111117966"	"GO:0003743; GO:0005085; GO:0005851; GO:0006413"
"LOC111118209"	"GO:0005515"
"LOC111118595"	"GO:0000993; GO:0006368; GO:0008023"
"LOC111118606"	"GO:0004714; GO:0004714; GO:0005515; GO:0005524; GO:0006468; GO:0007169; GO:0007169; GO:0007275; GO:0016020; GO:0033674; GO:0043235"
"LOC111120879"	"GO:0005829; GO:0005854; GO:0042788"
"LOC111122600"	"GO:0003735; GO:0005634; GO:0005737; GO:0005840; GO:0006412; GO:0016567; GO:0019941; GO:0031386; GO:0031625"
"LOC111122819"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022625"
"LOC111125367"	"GO:0042254; GO:1990904"
"LOC111125413"	"GO:0003723; GO:0003924; GO:0005525; GO:0005730; GO:0042273"
"LOC111125548"	"GO:0000028; GO:0003729; GO:0003735; GO:0003735; GO:0005840; GO:0006412; GO:0006412; GO:0019843; GO:0022627"
"LOC111126482"	"GO:0003723; GO:0003735; GO:0003735; GO:0005634; GO:0006412; GO:0022627; GO:2001235"
"LOC111128076"	"GO:0000978; GO:0001228; GO:0005634; GO:0006357"
"LOC111130882"	"GO:0005975; GO:0006865"
"LOC111135946"	"GO:0005750; GO:0006122; GO:0008121; GO:0016020; GO:0051537; GO:0051537"
"LOC111137010"	"GO:0003924; GO:0005525; GO:0005794"
"LOC111137690"	"GO:0004792; GO:0004792; GO:0019346"
"LOC111137984"	"GO:0005737"
