"gene_id"	"GO_Annotation"
"LOC111103632"	"GO:0016491"
"LOC111104400"	"GO:0004861; GO:0005634; GO:0051726"
"LOC111105796"	"GO:0005576; GO:0030414"
"LOC111108112"	"GO:0005743; GO:0005744; GO:0008320; GO:0030150"
"LOC111108192"	"GO:0003723"
"LOC111111073"	"GO:0005509"
"LOC111113272"	"GO:0004693; GO:0005524; GO:0005634; GO:0006368; GO:0006468; GO:0006468; GO:0008024; GO:0008353; GO:0030332; GO:0032968"
"LOC111119089"	"GO:0016747"
"LOC111119146"	"GO:0030198; GO:0031012"
"LOC111119628"	"GO:0000978; GO:0000981; GO:0005634; GO:0006357"
"LOC111119637"	"GO:0003712; GO:0005634; GO:0006357; GO:0010628; GO:0016592; GO:0070847"
"LOC111119842"	"GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061; GO:0008061"
"LOC111119855"	"GO:0000978; GO:0000981; GO:0005515; GO:0006357"
"LOC111119882"	"GO:0003700; GO:0046983"
"LOC111120073"	"GO:0005789; GO:0005789; GO:2001256; GO:2001256"
"LOC111121086"	"GO:0005737; GO:0008190; GO:0008190; GO:0045947; GO:0045947"
"LOC111121161"	"GO:0016020"
"LOC111121608"	"GO:0005634; GO:0045892"
"LOC111121661"	"GO:0005634; GO:0045892"
"LOC111122437"	"GO:0000381; GO:0000398; GO:0003729; GO:0005654; GO:1990247"
"LOC111123641"	"GO:0012505"
"LOC111123835"	"GO:0005452; GO:0005452; GO:0005886; GO:0006820; GO:0006820; GO:0008509; GO:0008510; GO:0015701; GO:0051453; GO:0055085"
"LOC111123952"	"GO:0000079; GO:0000307; GO:0005634; GO:0005737; GO:0016538; GO:0044772"
"LOC111124910"	"GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893"
"LOC111125041"	"GO:0005515"
"LOC111125716"	"GO:0005634; GO:0005737; GO:0010992; GO:0043130; GO:0043161"
"LOC111126139"	"GO:0005737"
"LOC111127613"	"GO:0005886"
"LOC111128103"	"GO:0000993; GO:0006355; GO:0016570; GO:0016593; GO:0051569"
"LOC111128962"	"GO:0003714; GO:0005634; GO:0006357"
"LOC111129160"	"GO:0005737; GO:0005737; GO:0070286"
"LOC111130067"	"GO:0003677; GO:0003700; GO:0003700; GO:0005634; GO:0005737; GO:0005737; GO:0006357; GO:0006954; GO:0007249; GO:0033554; GO:0034097; GO:0038061; GO:0045087"
"LOC111130138"	"GO:0004714; GO:0004714; GO:0005515; GO:0005524; GO:0006468; GO:0007169; GO:0007169; GO:0007275; GO:0016020; GO:0033674; GO:0043235"
"LOC111130255"	"GO:0003924; GO:0003924; GO:0005525; GO:0005525; GO:0007264"
"LOC111130595"	"GO:0005975; GO:0016810"
"LOC111131611"	"GO:0004674; GO:0005737; GO:0018107; GO:0018209"
"LOC111132880"	"GO:0004563; GO:0004563; GO:0005975; GO:0005975; GO:0006689; GO:0016020; GO:0030203; GO:0030247"
"LOC111133107"	"GO:0004672; GO:0005524; GO:0005634; GO:0006468; GO:0031434; GO:0032436; GO:0043405"
"LOC111134162"	"GO:0015106; GO:0015108; GO:0015116; GO:0016020; GO:0016020; GO:0019531; GO:0055085; GO:0055085"
"LOC111134500"	"GO:0000463; GO:0000463; GO:0003723; GO:0003735; GO:0003735; GO:0022625; GO:0022625"
"LOC111134642"	"GO:0005634; GO:0005740; GO:0005740; GO:0005741; GO:0043065; GO:0043065; GO:0097345"
"LOC111134980"	"GO:0004500; GO:0005507; GO:0005507; GO:0005615; GO:0006589; GO:0030667; GO:0042420; GO:0042421"
"LOC111135467"	"GO:0000422; GO:0004674; GO:0005524; GO:0005739; GO:0006468; GO:0006468; GO:0042981; GO:0090141"
"LOC111135582"	"GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009952; GO:0046983; GO:0050767"
"LOC111136305"	"GO:0000978; GO:0000981; GO:0006351; GO:0006357"
"LOC111136802"	"GO:0004970; GO:0005886"
