"","gene_id","GO_Annotation","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111099585","GO:0070537","histone H2A K63-linked deubiquitination",2,1,0.01,0.01281,"Biological Processes",0.5
"2","LOC111100708","GO:0006412","translation",662,15,4.25,7.7e-05,"Biological Processes",0.0226586102719033
"3","LOC111103150","GO:0002181","cytoplasmic translation",47,2,0.3,0.0366,"Biological Processes",0.0425531914893617
"4","LOC111103422","GO:0031124","mRNA 3'-end processing",28,2,0.18,0.01384,"Biological Processes",0.0714285714285714
"5","LOC111104020","GO:0023041","neuronal signal transduction",2,1,0.01,0.01281,"Biological Processes",0.5
"6","LOC111106170","GO:0006468","protein phosphorylation",540,8,3.47,0.03695,"Biological Processes",0.0148148148148148
"7","LOC111108199","GO:0006468","protein phosphorylation",540,8,3.47,0.03695,"Biological Processes",0.0148148148148148
"8","LOC111108251","GO:0042026","protein refolding",37,4,0.24,9e-05,"Biological Processes",0.108108108108108
"9","LOC111108783","GO:0030433","ubiquitin-dependent ERAD pathway",48,2,0.31,0.03804,"Biological Processes",0.0416666666666667
"10","LOC111109132","GO:0030433","ubiquitin-dependent ERAD pathway",48,2,0.31,0.03804,"Biological Processes",0.0416666666666667
"11","LOC111109993","GO:0006468","protein phosphorylation",540,8,3.47,0.03695,"Biological Processes",0.0148148148148148
"12","LOC111109993","GO:0010766","negative regulation of sodium ion transport",5,1,0.03,0.03171,"Biological Processes",0.2
"13","LOC111109993","GO:1903288","positive regulation of potassium ion import across plasma membrane",2,1,0.01,0.01281,"Biological Processes",0.5
"14","LOC111109993","GO:2000651","positive regulation of sodium ion transmembrane transporter activity",2,1,0.01,0.01281,"Biological Processes",0.5
"15","LOC111114778","GO:0000028","ribosomal small subunit assembly",13,3,0.08,7e-05,"Biological Processes",0.230769230769231
"16","LOC111114778","GO:0006412","translation",662,15,4.25,7.7e-05,"Biological Processes",0.0226586102719033
"17","LOC111115675","GO:0019432","triglyceride biosynthetic process",7,2,0.04,0.03139,"Biological Processes",0.285714285714286
"18","LOC111115675","GO:0032869","cellular response to insulin stimulus",8,2,0.05,0.00111,"Biological Processes",0.25
"19","LOC111115898","GO:0006107","oxaloacetate metabolic process",4,1,0.03,0.02545,"Biological Processes",0.25
"20","LOC111115898","GO:0006528","asparagine metabolic process",4,1,0.03,0.02545,"Biological Processes",0.25
"21","LOC111115985","GO:0000028","ribosomal small subunit assembly",13,3,0.08,7e-05,"Biological Processes",0.230769230769231
"22","LOC111115985","GO:0006412","translation",662,15,4.25,7.7e-05,"Biological Processes",0.0226586102719033
"23","LOC111119666","GO:0090161","Golgi ribbon formation",2,1,0.01,0.01281,"Biological Processes",0.5
"24","LOC111120158","GO:0048026","positive regulation of mRNA splicing, via spliceosome",4,1,0.03,0.02545,"Biological Processes",0.25
"25","LOC111120512","GO:0032878","regulation of establishment or maintenance of cell polarity",3,1,0.02,0.01915,"Biological Processes",0.333333333333333
"26","LOC111120512","GO:0051294","establishment of spindle orientation",6,1,0.04,0.03793,"Biological Processes",0.166666666666667
"27","LOC111120557","GO:0000028","ribosomal small subunit assembly",13,3,0.08,7e-05,"Biological Processes",0.230769230769231
"28","LOC111120557","GO:0006412","translation",662,15,4.25,7.7e-05,"Biological Processes",0.0226586102719033
"29","LOC111121730","GO:0090630","activation of GTPase activity",32,2,0.21,0.01787,"Biological Processes",0.0625
"30","LOC111121848","GO:0006412","translation",662,15,4.25,7.7e-05,"Biological Processes",0.0226586102719033
"31","LOC111121848","GO:0042274","ribosomal small subunit biogenesis",71,4,0.46,0.03691,"Biological Processes",0.0563380281690141
"32","LOC111122377","GO:0090630","activation of GTPase activity",32,2,0.21,0.01787,"Biological Processes",0.0625
"33","LOC111122600","GO:0006412","translation",662,15,4.25,7.7e-05,"Biological Processes",0.0226586102719033
"34","LOC111122600","GO:0019941","modification-dependent protein catabolic process",757,5,4.86,0.04451,"Biological Processes",0.00660501981505945
