"gene_id"	"GO_Annotation"
"LOC111099585"	"GO:0004843; GO:0006302; GO:0008237; GO:0008237; GO:0031593; GO:0070531; GO:0070531; GO:0070537; GO:0070552; GO:0070552"
"LOC111099601"	"GO:0005515; GO:0008270"
"LOC111100196"	"GO:0000209; GO:0017148; GO:0030371; GO:0043161; GO:0061630"
"LOC111100580"	"GO:0003676; GO:0005515"
"LOC111100708"	"GO:0003735; GO:0003735; GO:0005730; GO:0005840; GO:0006412; GO:0022627; GO:0070181"
"LOC111100919"	"GO:0016491"
"LOC111101103"	"GO:0005886; GO:0016907; GO:0071880"
"LOC111102926"	"GO:0005515; GO:0005615"
"LOC111103150"	"GO:0002181; GO:0003729; GO:0003735; GO:0022625"
"LOC111103422"	"GO:0003729; GO:0005515; GO:0005634; GO:0005634; GO:0031124"
"LOC111103579"	"GO:0005515"
"LOC111103593"	"GO:0005886; GO:0017147; GO:0035567; GO:0042813; GO:0042813; GO:0060070"
"LOC111104020"	"GO:0023041; GO:0023041; GO:0030867; GO:0030867"
"LOC111104249"	"GO:0005615; GO:0007267"
"LOC111104334"	"GO:0005892"
"LOC111104421"	"GO:0005634; GO:0048513"
"LOC111105223"	"GO:0003746; GO:0005085; GO:0005829; GO:0005853; GO:0006414; GO:0006414"
"LOC111105796"	"GO:0005576; GO:0030414"
"LOC111105858"	"GO:0005515; GO:0008270"
"LOC111106170"	"GO:0004672; GO:0005524; GO:0006468"
"LOC111106249"	"GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893"
"LOC111106631"	"GO:0005515; GO:0008270"
"LOC111106716"	"GO:0005044"
"LOC111108199"	"GO:0004672; GO:0004672; GO:0005524; GO:0006468; GO:0007165"
"LOC111108241"	"GO:0005544; GO:0005886; GO:0071277"
"LOC111108251"	"GO:0005524; GO:0005524; GO:0005737; GO:0016887; GO:0031072; GO:0034620; GO:0042026; GO:0051082; GO:0051085; GO:0051787; GO:0140662; GO:0140662"
"LOC111108277"	"GO:0008168; GO:0008270; GO:0009086"
"LOC111108783"	"GO:0005783; GO:0030433; GO:0051087; GO:0051787"
"LOC111109132"	"GO:0005783; GO:0030433; GO:0051087; GO:0051787"
"LOC111109182"	"GO:0000723; GO:0000724; GO:0003676; GO:0005524; GO:0005634; GO:0005654; GO:0005694; GO:0005737; GO:0006268; GO:0009378; GO:0043138; GO:0044806"
"LOC111109197"	"GO:0005515; GO:0008270"
"LOC111109667"	"GO:0005525"
