"gene","kME","connectivity","hub_type"
"MSTRG.27702",0.977027985454211,460.278480682549,"High kME + High Connectivity"
"MSTRG.25176",0.976013994580363,461.474035410702,"High kME + High Connectivity"
"MSTRG.21992",0.973675496614072,461.086322537306,"High kME + High Connectivity"
"MSTRG.34750",0.97335250418318,462.877929811124,"High kME + High Connectivity"
"MSTRG.57526",0.969481792952486,453.619784471737,"High kME + High Connectivity"
"MSTRG.44218",0.969270517464359,454.574255000679,"High kME + High Connectivity"
"MSTRG.35704",0.968569699500385,453.354499094702,"High kME + High Connectivity"
"MSTRG.15919",0.968132200569431,453.092686142724,"High kME + High Connectivity"
"MSTRG.21993",0.967310608383395,458.770161363594,"High kME + High Connectivity"
"MSTRG.8375",0.966712332184376,454.452186515096,"High kME + High Connectivity"
"MSTRG.59485",0.963978010006593,456.74735007122,"High kME + High Connectivity"
"MSTRG.34495",0.963045204486106,454.405575636721,"High kME + High Connectivity"
"MSTRG.42466",0.963037657444539,446.153910284792,"High kME only"
"MSTRG.25174",0.962838968077887,452.669264774487,"High kME + High Connectivity"
"MSTRG.51546",0.961259369125144,456.08726715211,"High kME + High Connectivity"
"MSTRG.14410",0.960682300908921,446.117397618948,"High kME only"
"MSTRG.79904",0.960623027795832,449.928163201183,"High kME + High Connectivity"
"MSTRG.8474",0.960330832762009,447.204481286937,"High kME + High Connectivity"
"MSTRG.35903",0.959869969284677,445.422872809865,"High kME only"
"MSTRG.32638",0.959816143750378,456.250558211129,"High kME + High Connectivity"
"MSTRG.7695",0.959577620876024,437.467203568274,"High kME only"
"MSTRG.28304",0.959568238402683,446.891197260064,"High kME only"
"MSTRG.71263",0.959311419804446,447.259303417884,"High kME + High Connectivity"
"MSTRG.40358",0.959169651628773,452.295336514917,"High kME + High Connectivity"
"MSTRG.31204",0.958622290781166,444.323856453892,"High kME only"
"MSTRG.9848",0.958467088588923,447.182633698493,"High kME only"
"MSTRG.27924",0.957639840419869,453.160874022698,"High kME + High Connectivity"
"MSTRG.39427",0.957583261279094,440.580730251918,"High kME only"
"MSTRG.18074",0.957184532272431,446.034237526031,"High kME only"
"MSTRG.83553",0.956694158883661,440.908915164167,"High kME only"
"MSTRG.29639",0.955864411170393,451.251341856074,"High Connectivity only"
"MSTRG.20004",0.955445005240171,447.543239023895,"High Connectivity only"
"MSTRG.19530",0.953983353258874,456.745053393397,"High Connectivity only"
"MSTRG.20717",0.951828170387093,456.320763652675,"High Connectivity only"
"MSTRG.20010",0.949474223868166,453.712728725561,"High Connectivity only"
"MSTRG.23696",0.949368299605136,449.636307479644,"High Connectivity only"
"MSTRG.4589",0.948939077311991,450.80693505322,"High Connectivity only"
"MSTRG.25178",0.948844974582955,448.934654297766,"High Connectivity only"
"MSTRG.60278",0.94693397735057,447.24682314119,"High Connectivity only"
"MSTRG.9647",0.939089760471614,451.741093562209,"High Connectivity only"
