"gene","kME","connectivity","hub_type"
"MSTRG.45307",0.981302240494205,197.613722122475,"High kME + High Connectivity"
"MSTRG.37441",0.974973827144982,198.505806054778,"High kME + High Connectivity"
"MSTRG.81693",0.974809308993611,195.814362315566,"High kME only"
"MSTRG.7698",0.974639086787741,202.267271480253,"High kME + High Connectivity"
"MSTRG.56202",0.972811329105389,196.654045488529,"High kME + High Connectivity"
"MSTRG.24847",0.971943239720062,200.033713446126,"High kME + High Connectivity"
"MSTRG.8896",0.969996630915591,196.833797792663,"High kME + High Connectivity"
"MSTRG.19447",0.969613093615429,197.306135322136,"High kME + High Connectivity"
"MSTRG.21156",0.96937923795202,207.325338175791,"High kME + High Connectivity"
"MSTRG.50008",0.96880189290622,201.597604821252,"High kME + High Connectivity"
"MSTRG.49957",0.968376093054382,201.760020992296,"High kME + High Connectivity"
"MSTRG.7807",0.967550966231234,196.458565609877,"High kME + High Connectivity"
"MSTRG.24503",0.967421396412152,198.459183336338,"High kME + High Connectivity"
"MSTRG.9240",0.966922676467895,194.336817795094,"High kME only"
"MSTRG.9189",0.966708333221344,194.040932418196,"High kME only"
"MSTRG.32597",0.966412093810767,194.771246831865,"High kME only"
"MSTRG.8712",0.964283147801031,196.298260513589,"High kME + High Connectivity"
"MSTRG.7222",0.963888352675852,196.613293599789,"High kME + High Connectivity"
"MSTRG.27184",0.963561754346244,198.240500421299,"High kME + High Connectivity"
"MSTRG.20600",0.962976908606763,193.462882684303,"High kME only"
"MSTRG.19766",0.962928671778169,192.253161388506,"High kME only"
"MSTRG.24975",0.962599637047701,192.448132021728,"High kME only"
"MSTRG.24839|LOC111124392",0.961976453057997,195.412901550554,"High kME only"
"MSTRG.74759",0.961169402551555,192.233755252681,"High kME only"
"MSTRG.15655",0.961027078219154,199.724717569853,"High kME + High Connectivity"
"MSTRG.9088",0.960981376167437,194.547061234444,"High kME only"
"MSTRG.17247|LOC111123958",0.95974740426154,191.323312420325,"High kME only"
"MSTRG.9241",0.958575800847714,192.340768465289,"High kME only"
"MSTRG.63204",0.957747350883021,201.343029781521,"High kME + High Connectivity"
"MSTRG.25251",0.9574130905088,192.235346741706,"High kME only"
"MSTRG.20718",0.956812444426541,207.553220945835,"High Connectivity only"
"MSTRG.12713",0.953164791918915,199.069015850431,"High Connectivity only"
"MSTRG.17246",0.950075930198327,196.955014415648,"High Connectivity only"
"MSTRG.50007",0.947270637510719,202.014488966457,"High Connectivity only"
"MSTRG.325",0.944085076913239,196.951088639732,"High Connectivity only"
"MSTRG.66615",0.94326873651742,196.396928055941,"High Connectivity only"
"MSTRG.80185",0.933584185783577,199.507654093715,"High Connectivity only"
"MSTRG.12287",0.931604487548414,199.672907808362,"High Connectivity only"
"MSTRG.12286",0.930497190628756,201.689566323204,"High Connectivity only"
"MSTRG.25534",0.927458783206187,196.21322162734,"High Connectivity only"
"MSTRG.10342",0.924452986244161,196.889794829899,"High Connectivity only"
"MSTRG.34461",0.909651124776198,198.219421752733,"High Connectivity only"
"MSTRG.33891",0.903260575149228,196.15827129149,"High Connectivity only"
