"gene_id"	"GO_Annotation"
"LOC111099585"	"GO:0004843; GO:0006302; GO:0008237; GO:0008237; GO:0031593; GO:0070531; GO:0070531; GO:0070537; GO:0070552; GO:0070552"
"LOC111100621"	"GO:0043066"
"LOC111101020"	"GO:0003729; GO:0005634; GO:0048024"
"LOC111101027"	"GO:0003924; GO:0005525"
"LOC111101387"	"GO:0004983; GO:0005886; GO:0007186; GO:0007186; GO:0042923; GO:0043005"
"LOC111102361"	"GO:0005085; GO:0005096; GO:0007165"
"LOC111103593"	"GO:0005886; GO:0017147; GO:0035567; GO:0042813; GO:0042813; GO:0060070"
"LOC111103611"	"GO:0000079; GO:0000307; GO:0005634; GO:0005737; GO:0016538; GO:0044772; GO:1900087"
"LOC111103655"	"GO:0003723; GO:0016607; GO:0048786"
"LOC111104280"	"GO:0005634; GO:0005737; GO:0005876; GO:0043027; GO:0043066; GO:0051726"
"LOC111104287"	"GO:0005615; GO:0050728"
"LOC111104407"	"GO:0005737; GO:0006826; GO:0006879; GO:0006880; GO:0008198; GO:0008199; GO:0008199"
"LOC111105448"	"GO:0009408; GO:0042026; GO:0044183"
"LOC111105796"	"GO:0005576; GO:0030414"
"LOC111106468"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627"
"LOC111106631"	"GO:0005515; GO:0008270"
"LOC111106716"	"GO:0005044"
"LOC111106992"	"GO:0004753; GO:0005737; GO:0019878"
"LOC111107548"	"GO:0000785; GO:0003677; GO:0005634; GO:0006355"
"LOC111108241"	"GO:0005544; GO:0005886; GO:0071277"
"LOC111108251"	"GO:0005524; GO:0005524; GO:0005737; GO:0016887; GO:0031072; GO:0034620; GO:0042026; GO:0051082; GO:0051085; GO:0051787; GO:0140662; GO:0140662"
"LOC111110503"	"GO:0006486; GO:0006486; GO:0016020; GO:0016020; GO:0016758; GO:0016758"
"LOC111111599"	"GO:0000381; GO:0003729; GO:0005634; GO:0005737; GO:0006376; GO:1990904"
"LOC111112758"	"GO:0016491"
"LOC111112917"	"GO:0008198; GO:0017172; GO:0019448"
"LOC111114067"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627"
"LOC111114718"	"GO:0002181; GO:0003735; GO:0003735; GO:0005840; GO:0006414; GO:0022625; GO:0030295; GO:0043021"
"LOC111114881"	"GO:0004869; GO:0004869; GO:0005829"
"LOC111115392"	"GO:0005901; GO:0060090; GO:0070836; GO:0070836"
"LOC111115675"	"GO:0003713; GO:0005634; GO:0008195; GO:0009062; GO:0019432; GO:0032869; GO:0045944"
"LOC111115898"	"GO:0005739; GO:0006107; GO:0006528; GO:0006541; GO:0050152"
"LOC111115985"	"GO:0000028; GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627"
"LOC111116941"	"GO:0046872"
"LOC111117297"	"GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893"
"LOC111117955"	"GO:0005515"
"LOC111117989"	"GO:0003723; GO:1990904"
"LOC111118304"	"GO:0000381; GO:0003729; GO:0005634; GO:0005737; GO:0007399"
"LOC111118577"	"GO:0006486; GO:0006486; GO:0016020; GO:0016020; GO:0016758; GO:0016758"
"LOC111118959"	"GO:0000978; GO:0000981; GO:0005634; GO:0005634; GO:0006357"
"LOC111119044"	"GO:0009408; GO:0042026; GO:0044183"
"LOC111119071"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022625; GO:0070180"
"LOC111119110"	"GO:0004930; GO:0007186; GO:0016020"
"LOC111119195"	"GO:0003723; GO:0003723; GO:0005654; GO:0010468"
"LOC111119359"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412"
"LOC111119574"	"GO:0004693; GO:0005524; GO:0005634; GO:0006468; GO:0006468"
"LOC111119586"	"GO:0003779; GO:0005198; GO:0005856; GO:0005886"
"LOC111119666"	"GO:0016020; GO:0016192; GO:0090161"
"LOC111119690"	"GO:0005515; GO:0007165"
"LOC111120087"	"GO:0005730; GO:0006364; GO:0030687; GO:0034399; GO:0042273"
"LOC111120473"	"GO:0005737; GO:0016567; GO:0061630"
"LOC111120557"	"GO:0000028; GO:0000462; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627; GO:0048027; GO:0070181"
"LOC111121848"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006364; GO:0006412; GO:0006412; GO:0022627; GO:0030686; GO:0032040; GO:0042274"
"LOC111122600"	"GO:0003735; GO:0005634; GO:0005737; GO:0005840; GO:0006412; GO:0016567; GO:0019941; GO:0031386; GO:0031625"
"LOC111123211"	"GO:0000123; GO:0000123; GO:0003713; GO:0003713; GO:0004402; GO:0004402; GO:0005515; GO:0005634; GO:0005667; GO:0008270; GO:0016573; GO:0016573; GO:0031490; GO:0045944"
"LOC111123835"	"GO:0005452; GO:0005452; GO:0005886; GO:0006820; GO:0006820; GO:0008509; GO:0008510; GO:0015701; GO:0051453; GO:0055085"
"LOC111124168"	"GO:0005515; GO:0005515; GO:0005886; GO:0007155; GO:0007411"
"LOC111124301"	"GO:0005515; GO:0005615; GO:0009986; GO:0016020"
"LOC111124544"	"GO:0005634; GO:0005737; GO:0007141; GO:0007144; GO:0048255; GO:0051321; GO:0051321"
"LOC111124561"	"GO:0000226; GO:0004674; GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0035556; GO:0050321"
"LOC111124618"	"GO:0005737; GO:0016881"
"LOC111124874"	"GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0006412; GO:0022625; GO:0022625"
"LOC111124905"	"GO:0005737; GO:0015031"
"LOC111125385"	"GO:0003841; GO:0005783; GO:0006654"
"LOC111125548"	"GO:0000028; GO:0003729; GO:0003735; GO:0003735; GO:0005840; GO:0006412; GO:0006412; GO:0019843; GO:0022627"
"LOC111126040"	"GO:0003735; GO:0005840; GO:0006412; GO:0022625"
"LOC111126360"	"GO:0000978; GO:0000981; GO:0006357"
"LOC111126482"	"GO:0003723; GO:0003735; GO:0003735; GO:0005634; GO:0006412; GO:0022627; GO:2001235"
"LOC111126862"	"GO:0005515"
"LOC111127405"	"GO:0008028; GO:0015718; GO:0055085"
"LOC111127512"	"GO:0008270"
"LOC111127649"	"GO:0000209; GO:0043161; GO:0061630"
"LOC111128168"	"GO:0003779; GO:0035025"
"LOC111128315"	"GO:0004601; GO:0005509; GO:0005886; GO:0006952; GO:0006979; GO:0016175; GO:0020037; GO:0042554; GO:0043020"
"LOC111128450"	"GO:0004499; GO:0050660; GO:0050661"
"LOC111129088"	"GO:0005432; GO:0006816; GO:0007154; GO:0016020; GO:0016020; GO:0055085"
"LOC111129188"	"GO:0007275; GO:0016020; GO:0019901; GO:0043409"
"LOC111129328"	"GO:0003950"
"LOC111129405"	"GO:0000978; GO:0000981; GO:0000981; GO:0005634; GO:0005667; GO:0006357"
"LOC111130039"	"GO:0000027; GO:0002181; GO:0003735; GO:0022625; GO:0042254; GO:0070180"
"LOC111130138"	"GO:0004714; GO:0004714; GO:0005515; GO:0005524; GO:0006468; GO:0007169; GO:0007169; GO:0007275; GO:0016020; GO:0033674; GO:0043235"
"LOC111130141"	"GO:0004867; GO:0004867; GO:0005615"
"LOC111130239"	"GO:0000287; GO:0000287; GO:0005524; GO:0005524; GO:0005737; GO:0032957; GO:0032957; GO:0047325; GO:0047325; GO:0052725; GO:0052725; GO:0052726; GO:0052726"
"LOC111130344"	"GO:0000978; GO:0000981; GO:0005634; GO:0006357"
"LOC111130552"	"GO:0003723; GO:0005730"
"LOC111130625"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412"
"LOC111130771"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412"
"LOC111130979"	"GO:0004053; GO:0004053; GO:0005634; GO:0005737; GO:0005829; GO:0019547; GO:0030145"
"LOC111131049"	"GO:0002181; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0022625"
"LOC111131216"	"GO:0003735; GO:0005634; GO:0005737; GO:0005840; GO:0006412; GO:0016567; GO:0019941; GO:0031386; GO:0031625"
"LOC111131538"	"GO:0001784"
"LOC111131671"	"GO:0043022; GO:0045087; GO:0075523; GO:1990825"
"LOC111131784"	"GO:0003723; GO:0005737"
"LOC111133364"	"GO:0005515; GO:0016573; GO:0035267"
"LOC111133398"	"GO:0004563; GO:0004563; GO:0005975; GO:0005975; GO:0006689; GO:0016020; GO:0030203"
"LOC111133540"	"GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893"
"LOC111133680"	"GO:0005509; GO:0005509; GO:0005576; GO:0005576; GO:0005764; GO:0007160; GO:0007160"
"LOC111134449"	"GO:0003729; GO:0005634; GO:0005737; GO:0017148"
"LOC111134536"	"GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0006986"
"LOC111134570"	"GO:0005515"
"LOC111134713"	"GO:0004613; GO:0004613; GO:0005525; GO:0005525; GO:0005739; GO:0005829; GO:0006094; GO:0006094; GO:0019543; GO:0030145; GO:0032869; GO:0042594; GO:0046327; GO:0070365; GO:0071333; GO:0071549"
"LOC111134801"	"GO:0008270"
"LOC111135307"	"GO:0001932; GO:0005952; GO:0008603"
"LOC111135729"	"GO:0042981"
"LOC111135749"	"GO:0009408; GO:0042026; GO:0044183"
"LOC111135790"	"GO:0005634"
"LOC111135860"	"GO:0004930; GO:0004930; GO:0016020; GO:0071880"
"LOC111135898"	"GO:0005615; GO:0031012"
"LOC111136200"	"GO:0003940; GO:0003951; GO:0003951; GO:0005515; GO:0005975; GO:0006741; GO:0006741; GO:0019674"
"LOC111136225"	"GO:0016491"
"LOC111136230"	"GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0006412; GO:0022625; GO:0042273"
"LOC111136305"	"GO:0000978; GO:0000981; GO:0006351; GO:0006357"
"LOC111136624"	"GO:0002181; GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0005840"
"LOC111137089"	"GO:0002181; GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0022625"
"LOC111137105"	"GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0007165; GO:0018105; GO:0090090"
"LOC111137218"	"GO:0003924; GO:0005525; GO:0005768; GO:0005794"
"LOC111137295"	"GO:0005515; GO:0005524; GO:0140658"
"LOC111137387"	"GO:0009408; GO:0042026; GO:0044183"
"LOC111137740"	"GO:0005515"
"LOC111138235"	"GO:0003730; GO:0005634; GO:0005829; GO:0008143; GO:0008266; GO:0010494; GO:1990904"
"LOC111138463"	"GO:0000398; GO:0000398; GO:0005681; GO:0005682; GO:0046540; GO:0046540"
