"gene_id"	"GO_Annotation"
"LOC111099601"	"GO:0005515; GO:0008270"
"LOC111100582"	"GO:0000118; GO:0000785; GO:0003712; GO:0006357; GO:0031490; GO:0032454; GO:0033169"
"LOC111100677"	"GO:0033178; GO:0033178; GO:0046961; GO:0046961; GO:1902600; GO:1902600"
"LOC111103150"	"GO:0002181; GO:0003729; GO:0003735; GO:0022625"
"LOC111103995"	"GO:0005319; GO:0005515; GO:0006869"
"LOC111104249"	"GO:0005615; GO:0007267"
"LOC111104334"	"GO:0005892"
"LOC111104546"	"GO:0005515; GO:0005615"
"LOC111105828"	"GO:0005515; GO:0005737; GO:0007165"
"LOC111107105"	"GO:0007154; GO:0016020"
"LOC111107274"	"GO:0005315; GO:0005743; GO:1990547"
"LOC111107757"	"GO:0007420; GO:0098609; GO:0098632"
"LOC111108080"	"GO:0004672; GO:0004672; GO:0005524; GO:0006468"
"LOC111108114"	"GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630"
"LOC111108587"	"GO:0016020; GO:0022829"
"LOC111108781"	"GO:0046872"
"LOC111109250"	"GO:0007154; GO:0016020"
"LOC111110677"	"GO:0004674; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0018105; GO:0018107"
"LOC111111873"	"GO:0005515; GO:0005615; GO:0031012"
"LOC111112099"	"GO:0003677; GO:0003779; GO:0007165; GO:0060090"
"LOC111112117"	"GO:0030544; GO:0051082; GO:0061077"
"LOC111112319"	"GO:0003924; GO:0005525; GO:0005525; GO:0005737; GO:0005886; GO:0006886; GO:0016192"
"LOC111113369"	"GO:0005515"
"LOC111114019"	"GO:0005515; GO:0005615; GO:0031012"
"LOC111114283"	"GO:0005515"
"LOC111114917"	"GO:0005515; GO:0008270"
"LOC111114922"	"GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893"
"LOC111115094"	"GO:0005737; GO:0016533; GO:0016533; GO:0019901; GO:0032147; GO:0045737; GO:0061575; GO:0061575"
"LOC111115506"	"GO:0003677; GO:0006310; GO:0015074"
"LOC111116203"	"GO:0002224; GO:0002224; GO:0004888; GO:0004888; GO:0005515; GO:0006954; GO:0006955; GO:0006955; GO:0016020; GO:0016020"
