"gene_id"	"GO_Annotation"
"LOC111100477"	"GO:0003676; GO:0004143; GO:0004143; GO:0007205; GO:0035556; GO:0046339; GO:0046834"
"LOC111100919"	"GO:0016491"
"LOC111101036"	"GO:0005856; GO:0005886; GO:0014069; GO:0051015"
"LOC111101103"	"GO:0005886; GO:0016907; GO:0071880"
"LOC111101201"	"GO:0005484; GO:0005794; GO:0006888; GO:0016020"
"LOC111103220"	"GO:0003779; GO:0003779; GO:0005856; GO:0005886; GO:0005902; GO:0005912; GO:0008360; GO:0030175; GO:0045177; GO:0050839; GO:1902115; GO:1902966; GO:2000643"
"LOC111103275"	"GO:0005856"
"LOC111103869"	"GO:0003924; GO:0005525; GO:0007165"
"LOC111103967"	"GO:0005615; GO:0007267"
"LOC111105688"	"GO:0000245; GO:0004672; GO:0005524; GO:0006468; GO:0050684"
"LOC111106022"	"GO:0002116; GO:0007162; GO:0008360; GO:0017154; GO:0017154; GO:0030334; GO:0043087; GO:0050772; GO:1902287"
"LOC111106317"	"GO:0016020; GO:0016020; GO:0034975; GO:0072546"
"LOC111107009"	"GO:0005515; GO:0098609"
"LOC111107306"	"GO:0000122; GO:0000978; GO:0000981; GO:0000981; GO:0005634; GO:0008270; GO:0045165; GO:0045944"
"LOC111107343"	"GO:0003723; GO:0003735; GO:0022627"
"LOC111107854"	"GO:0000978; GO:0004879; GO:0006357; GO:0008270; GO:0030154; GO:0048856"
"LOC111107913"	"GO:0030036; GO:0051015"
"LOC111108086"	"GO:0005388; GO:0005388; GO:0005524; GO:0016020; GO:0016887; GO:0043231; GO:0051480; GO:0070588"
"LOC111110350"	"GO:0005891; GO:0005891; GO:0008331; GO:0016020; GO:0098703"
"LOC111111442"	"GO:0003677; GO:0016020; GO:0046513; GO:0046513; GO:0050291; GO:0050291"
"LOC111111579"	"GO:0000987; GO:0006368; GO:0008023; GO:0008023; GO:0032968; GO:0042795"
"LOC111111680"	"GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630"
"LOC111112014"	"GO:0005794"
"LOC111112048"	"GO:0003746; GO:0005085; GO:0005829; GO:0005853; GO:0006414; GO:0006414"
"LOC111112490"	"GO:0005737"
"LOC111113328"	"GO:0004784; GO:0005507; GO:0019430"
"LOC111114522"	"GO:0000209; GO:0008270; GO:0043161; GO:0061630"
"LOC111114597"	"GO:0005524; GO:0005753; GO:0016887; GO:0042776; GO:0045261; GO:0046933; GO:1902600"
"LOC111114610"	"GO:0003735; GO:0005840; GO:0006412"
