"gene","kME","connectivity","hub_type"
"MSTRG.14289",0.955883457744161,270.681143087072,"High kME + High Connectivity"
"MSTRG.20934",0.952904423801782,271.946012122047,"High kME + High Connectivity"
"MSTRG.18980",0.942633867832413,275.775978945561,"High kME + High Connectivity"
"MSTRG.36462",0.942241476653258,273.256970768519,"High kME + High Connectivity"
"MSTRG.34838|LOC111133284",0.938739404341631,273.200013330693,"High kME + High Connectivity"
"MSTRG.11865",0.936999475382575,281.138801508327,"High kME + High Connectivity"
"MSTRG.27401",0.935166571136043,284.048279502502,"High kME + High Connectivity"
"MSTRG.61816",0.935131624609467,265.008477160315,"High kME + High Connectivity"
"MSTRG.8206",0.934868265763296,262.340184114227,"High kME only"
"MSTRG.81544",0.931840933088395,268.3079704707,"High kME + High Connectivity"
"MSTRG.49908",0.928475084512211,280.398986774436,"High kME + High Connectivity"
"MSTRG.37377",0.927822697125328,271.038558900498,"High kME + High Connectivity"
"MSTRG.7796",0.925785528712836,270.76039371338,"High kME + High Connectivity"
"MSTRG.36466",0.924576837748227,277.032580913255,"High kME + High Connectivity"
"MSTRG.15805",0.923988089475641,263.278477467378,"High kME only"
"MSTRG.8752",0.923578308922898,255.95127304916,"High kME only"
"MSTRG.12895",0.921274202427508,271.597139798768,"High kME + High Connectivity"
"MSTRG.34839",0.92104232883384,261.40680318349,"High kME only"
"MSTRG.76631",0.91589048316702,260.356353300531,"High kME only"
"MSTRG.47688",0.914042788949854,265.933709370148,"High kME + High Connectivity"
"MSTRG.36465",0.91399082549255,273.371218350865,"High kME + High Connectivity"
"MSTRG.22251",0.913390735381233,273.457642703941,"High kME + High Connectivity"
"MSTRG.78430",0.910791269707039,251.51709923229,"High kME only"
"MSTRG.42717",0.910056009930132,260.234738331114,"High kME only"
"MSTRG.67148",0.909501638633636,272.162908365564,"High kME + High Connectivity"
"MSTRG.34209",0.908917870012522,276.253017532802,"High kME + High Connectivity"
"MSTRG.18937",0.907835071077531,255.233836071681,"High kME only"
"MSTRG.28172",0.907413929254994,265.691269153296,"High kME + High Connectivity"
"MSTRG.41974",0.906469429161476,268.510925428338,"High kME + High Connectivity"
"MSTRG.43295",0.906294488024757,253.788428924118,"High kME only"
"MSTRG.67009",0.901478796424637,266.417645372242,"High Connectivity only"
"MSTRG.71700",0.900940672756709,275.128730987492,"High Connectivity only"
"MSTRG.40506",0.897213196673738,267.789778688974,"High Connectivity only"
"MSTRG.84074",0.889025235163404,270.939401414981,"High Connectivity only"
"MSTRG.11866|LOC111119044",0.887630573026774,270.341283815662,"High Connectivity only"
"MSTRG.67181",0.887338278679104,278.861571665919,"High Connectivity only"
"MSTRG.1967",0.877908743381385,268.374028923288,"High Connectivity only"
"MSTRG.38523",0.858836973557113,271.024181608675,"High Connectivity only"
"MSTRG.78895",0.763448979786932,265.679940135736,"High Connectivity only"
