"gene","kME","connectivity","hub_type"
"MSTRG.40143",0.968762653746086,194.497362536375,"High kME + High Connectivity"
"MSTRG.1601",0.965255225302302,194.158710449671,"High kME + High Connectivity"
"MSTRG.9867",0.961390486051833,191.904245563205,"High kME + High Connectivity"
"MSTRG.26310",0.9563895916463,193.108051406164,"High kME + High Connectivity"
"MSTRG.11220",0.951979951627761,191.446943446049,"High kME + High Connectivity"
"MSTRG.58375",0.947942854430831,188.614732414288,"High kME + High Connectivity"
"MSTRG.42569",0.943507126070794,190.631299517614,"High kME + High Connectivity"
"MSTRG.36062",0.943279400141233,189.498012780148,"High kME + High Connectivity"
"MSTRG.7650",0.937923932556761,188.880538210035,"High kME + High Connectivity"
"MSTRG.31836",0.936747040976259,187.482533753943,"High kME + High Connectivity"
"MSTRG.11886",0.936358725273485,187.571553448992,"High kME + High Connectivity"
"MSTRG.1195",0.936184630200552,186.476097192963,"High kME + High Connectivity"
"MSTRG.28491",0.935563331923029,185.380934604466,"High kME + High Connectivity"
"MSTRG.43901",0.935131721063645,189.518373532314,"High kME + High Connectivity"
"MSTRG.13854",0.933700271906294,187.617308914565,"High kME + High Connectivity"
"MSTRG.37949",0.930826884469252,187.285743085678,"High kME + High Connectivity"
"MSTRG.20117",0.927960409985566,185.212224886091,"High kME + High Connectivity"
"MSTRG.14774",0.926581877216714,185.123045424876,"High kME + High Connectivity"
"MSTRG.39211",0.926539049509227,186.878408314311,"High kME + High Connectivity"
"MSTRG.35227",0.925516388768052,186.255553362576,"High kME + High Connectivity"
"MSTRG.22588",0.920157399462655,185.012530514831,"High kME + High Connectivity"
"MSTRG.5859",0.919739971425508,182.272165817044,"High kME only"
"MSTRG.35599",0.919319498024316,182.459685578041,"High kME only"
"MSTRG.13778",0.918896382196816,182.619011592302,"High kME only"
"MSTRG.15184",0.918578364147542,185.35221635175,"High kME + High Connectivity"
"MSTRG.12530",0.91748354338984,184.600748565324,"High kME + High Connectivity"
"MSTRG.4067",0.917271917699606,185.392334721874,"High kME + High Connectivity"
"MSTRG.8912",0.916985271885224,182.411550724765,"High kME only"
"MSTRG.38220",0.916794259408936,183.975587305629,"High kME + High Connectivity"
"MSTRG.62709",0.916627743803805,182.833160916956,"High kME only"
"MSTRG.9481",0.915975369052019,185.406015832687,"High Connectivity only"
"MSTRG.57302",0.915362490340968,185.727718337265,"High Connectivity only"
"MSTRG.39489",0.9138191707977,183.593586977579,"High Connectivity only"
"MSTRG.21939",0.91214888407281,184.59502316786,"High Connectivity only"
"MSTRG.30123",0.909519809209568,184.743232269747,"High Connectivity only"
