"","GeneID","X.x","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.y","Protein_product","Replicon_Name","Replicon_Accession","Start","Stop","Strand","Gene","Length","Protein_name","Sequence_Length","Sequence_Description","Annotation_GO_ID","Enzyme_Code","Enzyme_Name"
"1","LOC111099450","MSTRG.50499|LOC111099450",0.919058381867827,15.3697455041187,3.0051571046695,5.11445657208296,3.14645466585969e-07,0.000135663997486344,393,"XP_022286439.1","6","NC_035785.1",27959582,27960586,"-",111099450,334,"uncharacterized protein LOC111099450 isoform X1",1005,"uncharacterized protein LOC111099450 isoform X1","","",""
"2","LOC111099450","MSTRG.50499|LOC111099450",0.919058381867827,15.3697455041187,3.0051571046695,5.11445657208296,3.14645466585969e-07,0.000135663997486344,392,"XP_022286438.1","6","NC_035785.1",27959582,27960586,"-",111099450,334,"uncharacterized protein LOC111099450 isoform X1",1005,"uncharacterized protein LOC111099450 isoform X1","","",""
"3","LOC111099450","MSTRG.50499|LOC111099450",0.919058381867827,15.3697455041187,3.0051571046695,5.11445657208296,3.14645466585969e-07,0.000135663997486344,394,"XP_022286440.1","6","NC_035785.1",27938253,27960586,"-",111099450,135,"homeobox protein Hox-A3-like isoform X2",408,"homeobox protein Hox-A3-like isoform X2","","",""
"4","LOC111099481","MSTRG.6662|LOC111099481",3.18509838386402,17.8471437725983,2.92377095037042,6.10415250563223,1.03347572500604e-09,7.69243178851601e-07,453,"XP_022286499.1","1","NC_035780.1",53869340,53871298,"+",111099481,379,"zinc finger protein Aiolos-like",1140,"zinc finger protein Aiolos-like","GO:0003674","",""
"5","LOC111099481","MSTRG.6662|LOC111099481",3.18509838386402,17.8471437725983,2.92377095037042,6.10415250563223,1.03347572500604e-09,7.69243178851601e-07,460,"XP_022286506.1","1","NC_035780.1",53869340,53871298,"+",111099481,379,"zinc finger protein Aiolos-like",1140,"zinc finger protein Aiolos-like","GO:0003674","",""
"6","LOC111099481","MSTRG.6662|LOC111099481",3.18509838386402,17.8471437725983,2.92377095037042,6.10415250563223,1.03347572500604e-09,7.69243178851601e-07,437,"XP_022286483.1","1","NC_035780.1",53869340,53871298,"+",111099481,379,"zinc finger protein Aiolos-like",1140,"zinc finger protein Aiolos-like","GO:0003674","",""
"7","LOC111099481","MSTRG.6662|LOC111099481",3.18509838386402,17.8471437725983,2.92377095037042,6.10415250563223,1.03347572500604e-09,7.69243178851601e-07,446,"XP_022286492.1","1","NC_035780.1",53869340,53871298,"+",111099481,379,"zinc finger protein Aiolos-like",1140,"zinc finger protein Aiolos-like","GO:0003674","",""
"8","LOC111100204","MSTRG.49545|LOC111100204",0.466664836460694,-17.0316615170964,4.6353952207483,-3.67426307920018,0.000238536862630496,0.0382475739080839,1532,"XP_022287578.1","6","NC_035785.1",19673844,19681870,"+",111100204,257,"ribonuclease Oy-like",774,"ribonuclease Oy-like","GO:0003723;GO:0004518","EC:3.1.31;EC:3.1.27;EC:3.1.27.1","Acting on ester bonds;Acting on ester bonds;Ribonuclease T(2)"
"9","LOC111100345","MSTRG.7688|LOC111100345",65.2869000582483,3.18425331026026,0.798501761937936,3.98778495182301,6.6693075406773e-05,0.0140794115878329,1775,"XP_022287821.1","1","NC_035780.1",60251981,60253449,"+",111100345,91,"serine protease inhibitor Cvsi-2-like",276,"serine protease inhibitor Cvsi-2-like","","",""
"10","LOC111100354","MSTRG.51772|LOC111100354",5.61530767866719,28.4105383307781,3.49849105226463,8.12079776862299,4.63129195743117e-16,1.30993314240766e-12,1783,"XP_022287829.1","6","NC_035785.1",36788793,36792885,"+",111100354,945,"uncharacterized protein LOC111100354",2838,"uncharacterized protein LOC111100354","GO:0043167","",""
