gene_id	GO_Annotation
LOC111099029	GO:0005261; GO:0098655
LOC111099032	GO:0004930; GO:0004930; GO:0005886; GO:0007186; GO:0007186
LOC111099033	GO:0016020; GO:0022857; GO:0055085
LOC111099034	GO:0005515
LOC111099036	GO:0008028; GO:0015718; GO:0055085
LOC111099039	GO:0004930; GO:0005886; GO:0007189
LOC111099040	GO:0005515; GO:0007169; GO:0035556
LOC111099041	GO:0016020; GO:0022857; GO:0022857; GO:0055085; GO:0055085
LOC111099043	GO:0005222; GO:0005223; GO:0005886; GO:0017071; GO:0030553; GO:0044877; GO:0098655
LOC111099044	GO:0000981; GO:0003677; GO:0006355
LOC111099047	GO:0003333; GO:0015179; GO:0016020
LOC111099048	GO:0031409
LOC111099050	GO:0005515; GO:0006886
LOC111099052	GO:0005737; GO:0016831; GO:0019752; GO:0030170
LOC111099053	GO:0001731; GO:0001732; GO:0003729; GO:0003743; GO:0003743; GO:0005850; GO:0006413; GO:0006413; GO:0031369
LOC111099054	GO:0005615; GO:0032504
LOC111099055	GO:0001653; GO:0004383; GO:0004383; GO:0004672; GO:0005524; GO:0006182; GO:0006182; GO:0006468; GO:0007168; GO:0035556
LOC111099056	GO:0003723; GO:0006396; GO:0008173
LOC111099057	GO:0005125; GO:0005576
LOC111099058	GO:0004930; GO:0004930; GO:0005886; GO:0007166; GO:0007189
LOC111099059	GO:0004930; GO:0005886; GO:0007166; GO:0007189
LOC111099062	GO:0004683; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0007265; GO:0009931; GO:0018105; GO:0032007; GO:0046777; GO:0051019
LOC111099063	GO:0000209; GO:0000413; GO:0003755; GO:0006457; GO:0034450; GO:0071013
LOC111099064	GO:0004521; GO:0004521
LOC111099066	GO:0008757
LOC111099067	GO:0000463; GO:0000466; GO:0005634; GO:0005730; GO:0008650; GO:0016435; GO:0030687; GO:0031167; GO:0031167
LOC111099069	GO:0005515
LOC111099070	GO:0016020; GO:0022857; GO:0055085
LOC111099072	GO:0016020; GO:0022857; GO:0055085
LOC111099073	GO:0005737; GO:0007265; GO:0008270; GO:0016567; GO:0061630
LOC111099074	GO:0004252; GO:0005615
LOC111099077	GO:0005515
LOC111099078	GO:0004715; GO:0005102; GO:0005524; GO:0006468; GO:0007169; GO:0030154; GO:0031234; GO:0045087
LOC111099079	GO:0003723; GO:0006378; GO:0097222; GO:1990817
LOC111099080	GO:0000977; GO:0005515; GO:0005634; GO:0006357; GO:0034972
LOC111099081	GO:0000774; GO:0000774; GO:0001405; GO:0006457; GO:0006457; GO:0030150; GO:0042803; GO:0042803; GO:0051082; GO:0051087; GO:0051087
LOC111099083	GO:0005634
LOC111099087	GO:0016020; GO:0070588; GO:0099604
LOC111099092	GO:0000079; GO:0000082; GO:0005634; GO:0005737; GO:0005813; GO:0016538; GO:0097134
LOC111099093	GO:0005930; GO:0036064; GO:0060271
LOC111099096	GO:0005615
LOC111099097	GO:0003723; GO:0006396; GO:0008173
LOC111099098	GO:0005125; GO:0005576
LOC111099099	GO:0007186; GO:0008528; GO:0016020
LOC111099101	GO:0004674; GO:0004674; GO:0005524; GO:0005737; GO:0005776; GO:0006914; GO:0010508; GO:0018105; GO:0046777; GO:0048675; GO:1905037
LOC111099103	GO:0016020; GO:0016020; GO:0035725
LOC111099104	GO:0003723
LOC111099105	GO:0008375; GO:0016020
LOC111099106	GO:0005634; GO:0036297; GO:0045145; GO:0045145
LOC111099108	GO:0016598
LOC111099109	GO:0008270
LOC111099110	GO:0005737; GO:0006470; GO:0006470; GO:0008138; GO:0008138; GO:0033549; GO:0043409
LOC111099111	GO:0031005; GO:0031005; GO:0032432; GO:0061181; GO:0061181; GO:0061572; GO:0061572
LOC111099112	GO:0005515; GO:0035869; GO:0036064; GO:0060271
LOC111099115	GO:0016255; GO:0016255; GO:0042765; GO:0042765
LOC111099116	GO:0007186; GO:0008528; GO:0016020
LOC111099119	GO:0005515
LOC111099120	GO:0019825; GO:0020037
LOC111099122	GO:0000839; GO:0005789; GO:0030433; GO:0030968; GO:0051787; GO:1990381
LOC111099123	GO:0000796; GO:0000796; GO:0003682; GO:0007076; GO:0007076
LOC111099131	GO:0005524; GO:0140662
LOC111099133	GO:0005524; GO:0140662
LOC111099135	GO:0004623; GO:0006644; GO:0050482
LOC111099139	GO:0005515; GO:0005634; GO:0006203; GO:0008832; GO:0045088; GO:0051607
LOC111099140	GO:0000462; GO:0003723; GO:0005524; GO:0005622; GO:0005730
LOC111099141	GO:0003676; GO:0015074
LOC111099143	GO:0006006; GO:0016620; GO:0016620; GO:0050661; GO:0051287
LOC111099147	GO:0005044
LOC111099148	GO:0008528; GO:0016020
LOC111099150	GO:0003924; GO:0005525
LOC111099151	GO:0004114; GO:0005515; GO:0007165
LOC111099152	GO:0005829; GO:0010181; GO:0010181; GO:0016491; GO:0016491; GO:0050660
LOC111099154	GO:0004888; GO:0004888; GO:0005230; GO:0007165; GO:0007268; GO:0016020; GO:0016020; GO:0030594; GO:0034220; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0050877
LOC111099155	GO:0004197; GO:0004197; GO:0006508; GO:0006508; GO:0042981
LOC111099156	GO:0005737; GO:0006508; GO:0006508; GO:0009636; GO:0043418; GO:0070005; GO:0070005
LOC111099157	GO:0005096; GO:0005096; GO:0005515; GO:0005737; GO:0051056; GO:0090630
LOC111099162	GO:0034975; GO:0072546
LOC111099163	GO:0005737; GO:0007169; GO:0043410
LOC111099165	GO:0003774; GO:0005515; GO:0005524; GO:0006355; GO:0016459
LOC111099166	GO:0005247; GO:0005765; GO:0006821; GO:0043231; GO:0055085
LOC111099168	GO:0004312; GO:0004315; GO:0006633; GO:0006633
LOC111099169	GO:0007129; GO:0070197
LOC111099170	GO:0005501; GO:0034632
LOC111099171	GO:0004930; GO:0004930; GO:0016020; GO:0071880
LOC111099172	GO:0004222; GO:0004222; GO:0006508; GO:0008270
LOC111099174	GO:0005634; GO:0042781
LOC111099175	GO:0006631; GO:0031956
LOC111099176	GO:0005886; GO:0007156; GO:0007411; GO:0030424; GO:0070593; GO:0098632
LOC111099179	GO:0038023
LOC111099180	GO:0005737; GO:0005737; GO:0006508; GO:0030145; GO:0030145; GO:0070006; GO:0070006
LOC111099182	GO:0050188
LOC111099183	GO:0005515
LOC111099184	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009952; GO:0046983; GO:0050767
LOC111099185	GO:0004222; GO:0004222; GO:0006508; GO:0030198; GO:0031012
LOC111099186	GO:0000978; GO:0000981; GO:0000981; GO:0005634; GO:0006357; GO:0030182; GO:0048468
LOC111099192	GO:0005515; GO:0009306
LOC111099193	GO:0005975; GO:0016810
LOC111099195	GO:0005509
LOC111099197	GO:0000079; GO:0007346; GO:0012505
LOC111099199	GO:0004715; GO:0005102; GO:0005524; GO:0006468; GO:0007169; GO:0030154; GO:0031234; GO:0045087
