,Protein_product,Replicon_Name,Replicon_Accession,Start,Stop,Strand,Gene,GeneID,Length,Protein_name,Sequence_Length,Sequence_Description,Annotation_GO_ID,Enzyme_Code,Enzyme_Name
1,XP_022286047.1,5,NC_035784.1,52839054,52858355,-,111138521,LOC111138521,284,purine nucleoside phosphorylase-like isoform X3,855,purine nucleoside phosphorylase-like isoform X3,GO:0016757;GO:0034641;GO:0044281;GO:0051186,EC:2.4.2.1,Purine-nucleoside phosphorylase
2,XP_022286048.1,5,NC_035784.1,2415709,2420037,+,111099031,LOC111099031,277,uncharacterized protein LOC111099031 isoform X1,834,uncharacterized protein LOC111099031 isoform X1,,,
3,XP_022286049.1,5,NC_035784.1,2415709,2420037,+,111099031,LOC111099031,264,uncharacterized protein LOC111099031 isoform X2,795,uncharacterized protein LOC111099031 isoform X2,,,
4,XP_022286050.1,5,NC_035784.1,2415709,2420037,+,111099031,LOC111099031,264,uncharacterized protein LOC111099031 isoform X3,795,uncharacterized protein LOC111099031 isoform X3,,,
5,XP_022286051.1,5,NC_035784.1,44163122,44164417,+,111099032,LOC111099032,431,5-hydroxytryptamine receptor-like,1296,5-hydroxytryptamine receptor-like,GO:0003674;GO:0005575;GO:0007165,,
6,XP_022286052.1,5,NC_035784.1,27144889,27148435,-,111099034,LOC111099034,336,uncharacterized protein LOC111099034,1011,uncharacterized protein LOC111099034,GO:0003674,,
7,XP_022286053.1,5,NC_035784.1,27149013,27154178,+,111099035,LOC111099035,327,dehydrogenase/reductase SDR family member 1-like,984,dehydrogenase/reductase SDR family member 1-like,,,
8,XP_022286054.1,5,NC_035784.1,27149013,27154178,+,111099035,LOC111099035,327,dehydrogenase/reductase SDR family member 1-like,984,dehydrogenase/reductase SDR family member 1-like,,,
9,XP_022286055.1,1,NC_035780.1,14631654,14637932,+,111099033,LOC111099033,611,solute carrier family 23 member 2-like,1836,solute carrier family 23 member 2-like,GO:0005575;GO:0022857,,
10,XP_022286056.1,5,NC_035784.1,81231486,81236583,-,111099036,LOC111099036,564,monocarboxylate transporter 12-like isoform X1,1695,monocarboxylate transporter 12-like isoform X1,GO:0005575;GO:0055085,,
11,XP_022286057.1,5,NC_035784.1,81231486,81236029,-,111099036,LOC111099036,490,monocarboxylate transporter 12-like isoform X2,1473,monocarboxylate transporter 12-like isoform X2,GO:0005575;GO:0055085,,
12,XP_022286058.1,5,NC_035784.1,18253171,18256192,-,111099037,LOC111099037,388,zinc finger protein with KRAB and SCAN domains 1-like,1167,zinc finger protein with KRAB and SCAN domains 1-like,GO:0003674,,
13,XP_022286059.1,5,NC_035784.1,43297348,43301189,-,111099039,LOC111099039,319,uncharacterized protein LOC111099039,960,uncharacterized protein LOC111099039,GO:0005575,,
14,XP_022286060.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,732,lymphocyte cytosolic protein 2-like isoform X1,2199,lymphocyte cytosolic protein 2-like isoform X1,GO:0003674,,
15,XP_022286061.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,732,lymphocyte cytosolic protein 2-like isoform X2,2199,lymphocyte cytosolic protein 2-like isoform X2,GO:0003674,,
16,XP_022286062.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,728,lymphocyte cytosolic protein 2-like isoform X3,2187,lymphocyte cytosolic protein 2-like isoform X3,GO:0003674,,
17,XP_022286063.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,728,lymphocyte cytosolic protein 2-like isoform X4,2187,lymphocyte cytosolic protein 2-like isoform X4,GO:0003674,,
18,XP_022286064.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,725,lymphocyte cytosolic protein 2-like isoform X5,2178,lymphocyte cytosolic protein 2-like isoform X5,GO:0003674,,
19,XP_022286065.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,719,lymphocyte cytosolic protein 2-like isoform X6,2160,lymphocyte cytosolic protein 2-like isoform X6,GO:0003674,,
20,XP_022286066.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,714,B-cell linker protein-like isoform X7,2145,B-cell linker protein-like isoform X7,GO:0003674,,
21,XP_022286067.1,5,NC_035784.1,95882037,95928282,+,111099040,LOC111099040,711,lymphocyte cytosolic protein 2-like isoform X8,2136,lymphocyte cytosolic protein 2-like isoform X8,GO:0003674,,
22,XP_022286068.1,1,NC_035780.1,5972764,5975423,-,111099041,LOC111099041,543,proton-coupled folate transporter-like,1632,proton-coupled folate transporter-like,GO:0005575;GO:0055085,,
